
Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,vomma
5,Wed,2022-08-31,21:00,Marseille,2.5,1–0,0.1,Clermont Foot,62,763,Orange Vélodrome,Eric Wattellier,Match Report,
5,Wed,2022-08-31,21:00,Lens,3.0,5–2,1.1,Lorient,37,161,Stade Bollaert-Delelis,Benoît Bastien,Match Report,
6,Sat,2022-09-03,17:00,Auxerre,0.6,0–2,1.6,Marseille,17,025,Stade de l'Abbé Deschamps,Willy Delajod,Match Report,
6,Sat,2022-09-03,19:00,Lyon,1.4,5–0,1.0,Angers,39,586,Groupama Stadium,Thomas Léonard,Match Report,
6,Sat,2022-09-03,21:00,Nantes,0.4,0–3,2.7,Paris S-G,34,406,Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,Match Report,
6,Sun,2022-09-04,13:00,Montpellier,0.5,1–3,1.6,Lille,12,215,Stade de la Mosson-Mondial 98,Jérôme Brisard,Match Report,
6,Sun,2022-09-04,15:00,Clermont Foot,1.3,2–0,1.3,Toulouse,10,085,Stade Gabriel Montpied,François Letexier,Match Report,
6,Sun,2022-09-04,15:00,Reims,2.1,1–1,1.9,Lens,15,761,Stade Auguste-Delaune,Eric Wattellier,Match Report,
6,Sun,2022-09-04,15:00,Brest,0.8,1–1,2.4,Strasbourg,11,003,Stade Francis-Le Blé,Bastien Dechepy,Match Report,
6,Sun,2022-09-04,15:00,Ajaccio,0.5,0–1,0.8,Lorient,7,000,Stade François Coty,Jeremy Stinat,Match Report,
6,Sun,2022-09-04,17:05,Troyes,0.9,1–1,2.4,Rennes,8,000,Stade de l'Aube,Mathieu Vernice,Match Report,
6,Sun,2022-09-04,20:45,Nice,0.7,0–1,1.1,Monaco,24,125,Stade de Nice,Benoît Millot,Match Report,
2,Wed,2022-09-07,19:00,Lorient,1.0,3–1,2.2,Lyon,13,685,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,Match Report,
7,Fri,2022-09-09,21:00,Lens,1.4,1–0,0.7,Troyes,37,344,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
7,Sat,2022-09-10,17:00,Paris S-G,1.7,1–0,1.1,Brest,45,000,Parc des Princes,Jérémie Pignard,Match Report,
7,Sat,2022-09-10,21:00,Marseille,2.2,2–1,1.0,Lille,62,985,Orange Vélodrome,Benoît Millot,Match Report,
7,Sun,2022-09-11,13:00,Strasbourg,1.2,0–0,0.8,Clermont Foot,25,089,Stade de la Meinau,Marc Bollengier,Match Report,
7,Sun,2022-09-11,15:00,Angers,2.5,2–1,0.7,Montpellier,6,165,Stade Raymond Kopa,François Letexier,Match Report,
7,Sun,2022-09-11,15:00,Lorient,1.3,3–2,0.5,Nantes,15,081,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,
7,Sun,2022-09-11,15:00,Toulouse,1.3,1–0,1.0,Reims,21,315,Stadium Municipal,Stéphanie Frappart,Match Report,
7,Sun,2022-09-11,15:00,Ajaccio,1.2,0–1,1.2,Nice,7,068,Stade François Coty,Eric Wattellier,Match Report,
7,Sun,2022-09-11,17:05,Rennes,1.6,5–0,0.7,Auxerre,27,837,Roazhon Park,Thomas Léonard,Match Report,
7,Sun,2022-09-11,20:45,Monaco,1.7,2–1,2.0,Lyon,7,000,Stade Louis II.,Clément Turpin,Match Report,
8,Fri,2022-09-16,21:00,Auxerre,2.0,1–3,2.5,Lorient,14,866,Stade de l'Abbé Deschamps,Ruddy Buquet,Match Report,
8,Sat,2022-09-17,17:00,Montpellier,1.8,2–1,0.6,Strasbourg,10,780,Stade de la Mosson-Mondial 98,Jeremy Stinat,Match Report,
8,Sat,2022-09-17,21:00,Lille,1.0,2–1,0.8,Toulouse,33,635,Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,Match Report,
8,Sun,2022-09-18,13:00,Reims,0.6,0–3,1.7,Monaco,10,000,Stade Auguste-Delaune,Marc Bollengier,Match Report,
8,Sun,2022-09-18,15:00,Brest,0.5,0–1,0.5,Ajaccio,11,153,Stade Francis-Le Blé,Stéphanie Frappart,Match Report,
8,Sun,2022-09-18,15:00,Clermont Foot,1.0,1–3,1.5,Troyes,10,753,Stade Gabriel Montpied,Jérôme Brisard,Match Report,
8,Sun,2022-09-18,15:00,Nice,1.3,0–1,1.5,Angers,18,545,Stade de Nice,Bastien Dechepy,Match Report,
8,Sun,2022-09-18,15:00,Marseille,1.6,1–1,1.2,Rennes,62,753,Orange Vélodrome,Benoît Bastien,Match Report,
8,Sun,2022-09-18,17:05,Nantes,0.9,0–0,0.9,Lens,28,854,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Match Report,
8,Sun,2022-09-18,20:45,Lyon,1.0,0–1,1.6,Paris S-G,58,230,Groupama Stadium,François Letexier,Match Report,
9,Fri,2022-09-30,21:00,Angers,1.2,0–3,1.6,Marseille,19,000,Stade Raymond Kopa,Johan Hamel,Match Report,
9,Sat,2022-10-01,17:00,Strasbourg,1.3,1–3,3.2,Rennes,25,226,Stade de la Meinau,Eric Wattellier,Match Report,
9,Sat,2022-10-01,21:00,Paris S-G,1.0,2–1,0.5,Nice,47,000,Parc des Princes,Jérôme Brisard,Match Report,
9,Sun,2022-10-02,13:00,Lorient,0.6,2–1,2.2,Lille,14,916,Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Match Report,
9,Sun,2022-10-02,15:00,Auxerre,1.4,1–1,0.6,Brest,14,630,Stade de l'Abbé Deschamps,Florent Batta,Match Report,
9,Sun,2022-10-02,15:00,Troyes,1.6,2–2,1.0,Reims,10,164,Stade de l'Aube,Benoît Millot,Match Report,
9,Sun,2022-10-02,15:00,Toulouse,1.7,4–2,1.2,Montpellier,21,820,Stadium Municipal,Jérémie Pignard,Match Report,
9,Sun,2022-10-02,15:00,Ajaccio,1.5,1–3,1.0,Clermont Foot,6,610,Stade François Coty,Clément Turpin,Match Report,
9,Sun,2022-10-02,17:05,Monaco,2.1,4–1,0.5,Nantes,5,202,Stade Louis II.,Thomas Léonard,Match Report,
9,Sun,2022-10-02,20:45,Lens,2.9,1–0,0.1,Lyon,36,674,Stade Bollaert-Delelis,Benoît Bastien,Match Report,
10,Fri,2022-10-07,21:00,Lyon,1.4,1–1,0.5,Toulouse,41,295,Groupama Stadium,Ruddy Buquet,Match Report,
10,Sat,2022-10-08,17:00,Marseille,1.7,1–2,0.2,Ajaccio,63,312,Orange Vélodrome,Willy Delajod,Match Report,
10,Sat,2022-10-08,21:00,Reims,1.8,0–0,1.2,Paris S-G,20,543,Stade Auguste-Delaune,Pierre Gaillouste,Match Report,
10,Sun,2022-10-09,13:00,Montpellier,0.7,0–2,1.2,Monaco,13,048,Stade Raoul-Barrière,Benoît Millot,Match Report,
10,Sun,2022-10-09,15:00,Brest,0.9,1–2,1.1,Lorient,9,819,Stade Francis-Le Blé,Bastien Dechepy,Match Report,
10,Sun,2022-10-09,15:00,Angers,2.1,2–3,2.0,Strasbourg,8,000,Stade Raymond Kopa,Clément Turpin,Match Report,
10,Sun,2022-10-09,15:00,Clermont Foot,1.1,2–1,1.0,Auxerre,11,119,Stade Gabriel Montpied,Mathieu Vernice,Match Report,
10,Sun,2022-10-09,15:00,Nice,2.6,3–2,1.5,Troyes,18,053,Stade Municipal du Ray,Johan Hamel,Match Report,
10,Sun,2022-10-09,17:05,Rennes,1.8,3–0,0.5,Nantes,27,844,Roazhon Park,Florent Batta,Match Report,
10,Sun,2022-10-09,20:45,Lille,2.6,1–0,1.2,Lens,48,527,Decathlon Arena - Stade Pierre-Mauroy,François Letexier,Match Report,
11,Fri,2022-10-14,21:00,Strasbourg,0.6,0–3,2.3,Lille,25,313,Stade de la Meinau,Jérémie Pignard,Match Report,
11,Sat,2022-10-15,17:00,Lorient,0.8,0–0,0.6,Reims,15,776,Stade Yves Allainmat - Le Moustoir,Mathieu Vernice,Match Report,
11,Sat,2022-10-15,21:00,Lens,1.8,1–0,0.7,Montpellier,37,320,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
11,Sun,2022-10-16,13:00,Toulouse,2.4,3–2,1.2,Angers,21,141,Stadium Municipal,Benoît Bastien,Match Report,
11,Sun,2022-10-16,15:00,Rennes,1.6,3–2,1.1,Lyon,28,152,Roazhon Park,Stéphanie Frappart,Match Report,
11,Sun,2022-10-16,15:00,Troyes,0.6,1–1,2.4,Ajaccio,7,731,Stade de l'Aube,Jérôme Brisard,Match Report,
11,Sun,2022-10-16,15:00,Auxerre,0.8,1–1,1.6,Nice,14,125,Stade de l'Abbé Deschamps,Eric Wattellier,Match Report,
11,Sun,2022-10-16,15:00,Nantes,2.9,4–1,0.7,Brest,25,759,Stade de la Beaujoire - Louis Fonteneau,Marc Bollengier,Match Report,
11,Sun,2022-10-16,17:05,Monaco,1.1,1–1,1.9,Clermont Foot,4,731,Stade Louis II.,Ruddy Buquet,Match Report,
11,Sun,2022-10-16,20:45,Paris S-G,2.5,1–0,1.2,Marseille,47,000,Parc des Princes,Clément Turpin,Match Report,
12,Fri,2022-10-21,21:00,Ajaccio,0.3,0–3,2.5,Paris S-G,10,000,Stade François Coty,Johan Hamel,Match Report,
12,Sat,2022-10-22,17:00,Montpellier,1.1,1–2,2.7,Lyon,15,339,Stade de la Mosson-Mondial 98,Thomas Léonard,Match Report,
12,Sat,2022-10-22,21:00,Marseille,1.8,0–1,0.9,Lens,56,414,Orange Vélodrome,Benoît Millot,Match Report,
12,Sun,2022-10-23,13:00,Angers,1.2,1–2,2.2,Rennes,11,500,Stade Raymond Kopa,Pierre Gaillouste,Match Report,
12,Sun,2022-10-23,15:00,Troyes,0.8,2–2,1.4,Lorient,10,000,Stade de l'Aube,Marc Bollengier,Match Report,
12,Sun,2022-10-23,15:00,Clermont Foot,1.0,1–3,3.0,Brest,7,275,Stade Gabriel Montpied,Jérémie Pignard,Match Report,
12,Sun,2022-10-23,15:00,Reims,2.4,2–1,0.7,Auxerre,11,411,Stade Auguste-Delaune,Hakim Ben El Hadj Salem,Match Report,
12,Sun,2022-10-23,15:00,Toulouse,2.2,2–2,1.8,Strasbourg,21,622,Stadium Municipal,Jeremy Stinat,Match Report,
12,Sun,2022-10-23,17:05,Nice,1.4,1–1,1.0,Nantes,20,166,Stade de Nice,François Letexier,Match Report,
12,Sun,2022-10-23,20:45,Lille,2.5,4–3,1.1,Monaco,35,362,Decathlon Arena - Stade Pierre-Mauroy,Willy Delajod,Match Report,
13,Fri,2022-10-28,21:00,Lens,2.4,3–0,0.7,Toulouse,37,488,Stade Bollaert-Delelis,Florent Batta,Match Report,
13,Sat,2022-10-29,17:00,Paris S-G,2.9,4–3,2.0,Troyes,47,000,Parc des Princes,Eric Wattellier,Match Report,
13,Sat,2022-10-29,21:00,Strasbourg,1.1,2–2,2.0,Marseille,25,687,Stade de la Meinau,Ruddy Buquet,Match Report,
13,Sun,2022-10-30,13:00,Auxerre,1.5,1–0,0.4,Ajaccio,15,092,Stade de l'Abbé Deschamps,Benoît Millot,Match Report,
13,Sun,2022-10-30,15:00,Rennes,1.2,3–0,0.9,Montpellier,26,617,Roazhon Park,Bastien Dechepy,Match Report,
13,Sun,2022-10-30,15:00,Monaco,1.8,2–0,0.6,Angers,7,069,Stade Louis II.,Stéphanie Frappart,Match Report,
13,Sun,2022-10-30,15:00,Brest,1.5,0–0,1.0,Reims,11,008,Stade Francis-Le Blé,Willy Delajod,Match Report,
13,Sun,2022-10-30,15:00,Nantes,1.7,1–1,0.7,Clermont Foot,30,894,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
13,Sun,2022-10-30,17:05,Lorient,1.8,1–2,1.8,Nice,16,034,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,
13,Sun,2022-10-30,20:45,Lyon,1.6,1–0,1.5,Lille,55,790,Matmut Stadium de Gerland,Jérôme Brisard,Match Report,
14,Fri,2022-11-04,21:00,Troyes,1.9,1–1,1.4,Auxerre,12,689,Stade de l'Aube,Pierre Gaillouste,Match Report,
14,Sat,2022-11-05,17:00,Ajaccio,3.7,4–2,0.9,Strasbourg,7,203,Stade François Coty,Mathieu Vernice,Match Report,
14,Sat,2022-11-05,21:00,Angers,0.5,1–2,1.8,Lens,11,585,Stade Raymond Kopa,Thomas Léonard,Match Report,
14,Sun,2022-11-06,13:00,Lorient,0.8,1–2,1.6,Paris S-G,16,778,Stade Yves Allainmat - Le Moustoir,Benoît Bastien,Match Report,
14,Sun,2022-11-06,15:00,Toulouse,0.7,0–2,2.4,Monaco,23,005,Stadium Municipal,Benoît Millot,Match Report,
14,Sun,2022-11-06,15:00,Reims,2.8,1–0,0.7,Nantes,11,477,Stade Auguste-Delaune,Ruddy Buquet,Match Report,
14,Sun,2022-11-06,15:00,Nice,1.1,1–0,1.1,Brest,19,035,Stade Municipal du Ray,Jeremy Stinat,Match Report,
14,Sun,2022-11-06,15:00,Clermont Foot,3.4,1–1,1.2,Montpellier,10,990,Stade Gabriel Montpied,Marc Bollengier,Match Report,
14,Sun,2022-11-06,17:05,Lille,2.4,1–1,0.9,Rennes,35,539,Stadium Lille Métropole,Johan Hamel,Match Report,
14,Sun,2022-11-06,20:45,Marseille,0.8,1–0,0.9,Lyon,62,975,Orange Vélodrome,François Letexier,Match Report,
15,Fri,2022-11-11,21:00,Lyon,1.3,1–1,1.6,Nice,57,000,Groupama Stadium,Eric Wattellier,Match Report,
15,Sat,2022-11-12,17:00,Lens,1.5,2–1,0.2,Clermont Foot,37,519,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
15,Sat,2022-11-12,21:00,Rennes,2.1,2–1,1.0,Toulouse,26,835,Roazhon Park,Willy Delajod,Match Report,
15,Sun,2022-11-13,13:00,Paris S-G,2.0,5–0,0.7,Auxerre,45,000,Parc des Princes,Thomas Léonard,Match Report,
15,Sun,2022-11-13,15:00,Lille,0.6,1–0,0.6,Angers,36,360,Decathlon Arena - Stade Pierre-Mauroy,Miguel Nogueira,Match Report,
15,Sun,2022-11-13,15:00,Montpellier,1.7,1–1,2.1,Reims,11,778,Stade de la Mosson-Mondial 98,Florent Batta,Match Report,
15,Sun,2022-11-13,15:00,Brest,2.4,2–1,1.0,Troyes,10,642,Stade Francis-Le Blé,Ruddy Buquet,Match Report,
15,Sun,2022-11-13,15:00,Nantes,1.1,2–2,2.5,Ajaccio,29,407,Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,Match Report,
15,Sun,2022-11-13,17:05,Strasbourg,2.3,1–1,0.5,Lorient,25,117,Stade de la Meinau,Pierre Gaillouste,Match Report,
15,Sun,2022-11-13,20:45,Monaco,2.0,2–3,1.9,Marseille,10,631,Stade Louis II.,Benoît Bastien,Match Report,
16,Wed,2022-12-28,15:00,Ajaccio,1.6,1–0,1.9,Angers,7,088,Stade François Coty,Jeremy Stinat,Match Report,
16,Wed,2022-12-28,15:00,Troyes,0.2,0–0,1.5,Nantes,9,043,Stade de l'Aube,Stéphanie Frappart,Match Report,
16,Wed,2022-12-28,17:00,Auxerre,1.3,2–3,1.3,Monaco,16,503,Stade de l'Abbé Deschamps,Marc Bollengier,Match Report,
16,Wed,2022-12-28,19:00,Clermont Foot,0.7,0–2,1.6,Lille,13,122,Stade Gabriel Montpied,François Letexier,Match Report,
16,Wed,2022-12-28,21:00,Brest,1.3,2–4,3.1,Lyon,14,601,Stade Francis-Le Blé,Bastien Dechepy,Match Report,
16,Wed,2022-12-28,21:00,Paris S-G,2.1,2–1,1.3,Strasbourg,47,000,Parc des Princes,Clément Turpin,Match Report,
16,Thu,2022-12-29,17:00,Lorient,1.0,0–2,1.7,Montpellier,15,963,Stade Yves Allainmat - Le Moustoir,Willy Delajod,Match Report,
16,Thu,2022-12-29,19:00,Reims,1.4,3–1,1.6,Rennes,13,262,Stade Auguste-Delaune,Hakim Ben El Hadj Salem,Match Report,
16,Thu,2022-12-29,21:00,Marseille,2.6,6–1,1.8,Toulouse,61,371,Orange Vélodrome,Jérémie Pignard,Match Report,
16,Thu,2022-12-29,21:00,Nice,1.0,0–0,1.0,Lens,24,672,Stade de Nice,Benoît Millot,Match Report,
17,Sun,2023-01-01,15:00,Toulouse,1.1,2–0,0.0,Ajaccio,25,957,Stadium Municipal,Pierre Gaillouste,Match Report,
17,Sun,2023-01-01,15:00,Monaco,1.4,1–0,0.8,Brest,6,150,Stade Louis II.,Jeremy Stinat,Match Report,
17,Sun,2023-01-01,15:00,Angers,2.3,1–2,0.6,Lorient,6,000,Stade Raymond Kopa,Florent Batta,Match Report,
17,Sun,2023-01-01,15:00,Nantes,1.0,1–0,0.8,Auxerre,23,266,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
17,Sun,2023-01-01,17:00,Lyon,0.7,0–1,1.2,Clermont Foot,30,000,Groupama Stadium,Stéphanie Frappart,Match Report,
17,Sun,2023-01-01,20:45,Lens,1.8,3–1,1.6,Paris S-G,38,047,Stade Bollaert-Delelis,Jérôme Brisard,Match Report,
17,Mon,2023-01-02,15:00,Strasbourg,1.1,2–3,1.2,Troyes,25,135,Stade de la Meinau,Benoît Millot,Match Report,
17,Mon,2023-01-02,17:00,Lille,2.3,1–1,0.8,Reims,31,086,Decathlon Arena - Stade Pierre-Mauroy,Eric Wattellier,Match Report,
17,Mon,2023-01-02,19:00,Montpellier,1.4,1–2,1.4,Marseille,18,971,Stade de la Mosson-Mondial 98,Ruddy Buquet,Match Report,
17,Mon,2023-01-02,21:00,Rennes,1.9,2–1,0.4,Nice,27,427,Roazhon Park,Thomas Léonard,Match Report,
18,Wed,2023-01-11,19:00,Clermont Foot,1.7,2–1,1.1,Rennes,10,648,Stade Gabriel Montpied,Clément Turpin,Match Report,
18,Wed,2023-01-11,19:00,Ajaccio,1.0,0–1,0.9,Reims,6,648,Stade François Coty,Willy Delajod,Match Report,
18,Wed,2023-01-11,19:00,Auxerre,1.1,0–5,2.2,Toulouse,12,405,Stade de l'Abbé Deschamps,Florent Batta,Match Report,
18,Wed,2023-01-11,19:00,Brest,0.3,0–0,0.7,Lille,11,452,Stade Francis-Le Blé,Mathieu Vernice,Match Report,
18,Wed,2023-01-11,19:00,Nantes,1.1,0–0,0.5,Lyon,27,657,Stade de la Beaujoire - Louis Fonteneau,Marc Bollengier,Match Report,
18,Wed,2023-01-11,21:00,Troyes,0.2,0–2,1.9,Marseille,14,222,Stade de l'Aube,Hakim Ben El Hadj Salem,Match Report,
18,Wed,2023-01-11,21:00,Nice,2.5,6–1,0.2,Montpellier,17,500,Stade de Nice,Bastien Dechepy,Match Report,
18,Wed,2023-01-11,21:00,Paris S-G,1.3,2–0,0.5,Angers,47,000,Parc des Princes,Eric Wattellier,Match Report,
18,Wed,2023-01-11,21:00,Lorient,1.3,2–2,1.8,Monaco,14,521,Stade Yves Allainmat - Le Moustoir,Jérôme Brisard,Match Report,
18,Wed,2023-01-11,21:00,Strasbourg,0.8,2–2,1.9,Lens,25,624,Stade de la Meinau,François Letexier,Match Report,
19,Sat,2023-01-14,17:00,Lens,2.0,1–0,0.3,Auxerre,38,208,Stade Bollaert-Delelis,Willy Delajod,Match Report,
19,Sat,2023-01-14,19:00,Marseille,2.2,3–1,0.5,Lorient,62,276,Orange Vélodrome,Bastien Dechepy,Match Report,
19,Sat,2023-01-14,21:00,Lyon,2.8,1–2,1.1,Strasbourg,38,473,Groupama Stadium,Jeremy Stinat,Match Report,
19,Sun,2023-01-15,13:00,Lille,3.8,5–1,0.9,Troyes,31,254,Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,Match Report,
19,Sun,2023-01-15,15:00,Toulouse,1.4,1–1,1.0,Brest,20,637,Stadium Municipal,Benoît Millot,Match Report,
19,Sun,2023-01-15,15:00,Montpellier,0.9,0–3,0.6,Nantes,10,947,Stade de la Mosson-Mondial 98,Thomas Léonard,Match Report,
19,Sun,2023-01-15,15:00,Reims,0.9,0–0,0.8,Nice,11,383,Stade Auguste-Delaune,François Letexier,Match Report,
19,Sun,2023-01-15,15:00,Angers,0.6,1–2,1.7,Clermont Foot,12,160,Stade Raymond Kopa,Mathieu Vernice,Match Report,
19,Sun,2023-01-15,17:05,Monaco,3.7,7–1,0.3,Ajaccio,8,000,Stade Louis II.,Ruddy Buquet,Match Report,
19,Sun,2023-01-15,20:45,Rennes,0.8,1–0,1.0,Paris S-G,27,566,Roazhon Park,Benoît Bastien,Match Report,
20,Fri,2023-01-27,21:00,Lorient,0.9,2–1,1.5,Rennes,16,782,Stade Yves Allainmat - Le Moustoir,Benoît Millot,Match Report,
20,Sat,2023-01-28,17:00,Troyes,1.2,1–1,2.9,Lens,13,500,Stade de l'Aube,Clément Turpin,Match Report,
20,Sat,2023-01-28,21:00,Marseille,1.6,1–1,1.5,Monaco,64,502,Orange Vélodrome,Jérémie Pignard,Match Report,
